N0	Dzień dobry, tu Tomasz. Przegląd wiadomości z ogrodów działkowych w Polsce — siedem tematów, w tym dwa o naszym ogrodzie. Zaczynamy.
NRa	Temat pierwszy — nasz okręg. Krajowa Rada Związku zdecydowała: Okręg Częstochowski, do którego należy nasz ogród, od pierwszego stycznia wchodzi do Okręgu Śląskiego w Katowicach.
NRb	W Częstochowie zostaje rejon — sprawy załatwiamy dalej na miejscu. Zaplecze, czyli prawnicy, finanse i szkolenia, będzie z Katowic. Do końca roku nic się nie zmienia.
N1a	Temat drugi — nasz ogród. Krajowy Zarząd Polskiego Związku Działkowców przyznał ogrodowi imienia Józefa Lompy w Woźnikach trzydzieści tysięcy złotych dotacji na nową instalację elektryczną.
N1b	To pieniądze na prąd w alejkach. W sierpniu Związek rozdał ogrodom w całej Polsce ponad milion sześćset tysięcy złotych — my też jesteśmy na tej liście.
N2a	Temat trzeci — opłaty za ziemię pod ogrodami, czyli użytkowanie wieczyste. W przepisach nie ma stawki dla ogrodów, więc gmina może zażądać aż trzech procent wartości gruntu.
N2b	W Wieliczce to około dziewięciuset złotych rocznie na działkę, w Rudzie Śląskiej opłata ma wzrosnąć około osiem razy. Nasz ogród też stoi na gruncie w użytkowaniu wieczystym.
N2c	Związek walczy o stawkę sto razy mniejszą — jedna dziesiąta procenta. Rząd mówi: ustawy nie zmieniamy. Prezesi naszego okręgu wysłali stanowisko. Będzie petycja — podpiszemy.
N3a	Temat czwarty — studnie i abisynki. Od osiemnastego sierpnia starą studnię bez pozwolenia można zgłosić do Wód Polskich bez opłaty i bez kary.
N3b	Ale uwaga — w sprawie abisynek na działkach ministerstwo i Wody Polskie podają różne informacje. Związek zapytał ministerstwo. Nie płaćcie nikomu za legalizację, zanim przyjdzie odpowiedź.
N4	Temat piąty — zakaz spalania. W ogrodzie nie wolno palić liści, gałęzi ani śmieci — zabrania tego regulamin, a mandat sięga pięciuset złotych. Gałęzie i liście na kompost.
N5a	Temat szósty — bezpieczeństwo na jesień. W Rudzie Śląskiej jednej nocy spłonęły trzy altany, zarząd nie wyklucza podpalenia. U nas są kamery — zamykajcie altany, zabierajcie narzędzia.
N5b	Na działkach w Gdańsku doszło do wypadku z gazem — dwie osoby straciły życie. Przed zimą sprawdźcie butle, węże i kuchenki. Coś podejrzanego — dzwońcie sto dwanaście.
N6a	Temat siódmy — dobre wieści ze Śląska. Piekary Śląskie mają najpiękniejszą działkę w Polsce, a ogród z Łazisk Górnych zajął trzecie miejsce w konkursie na najlepszy ogród.
N6b	Jedenastego września Związek świętował czterdzieści pięć lat. Gratulujemy działkowcom z Piekar i Łazisk — i do zobaczenia w naszym ogrodzie.
